fc_elyz_capex,shed_max,dispatch,algo,srand,ret,numevals,lcoe_opt,shed_rate_opt,capex,opex,xopt_sto,xopt_pv,xopt_wind,xopt_elyz,xopt_fc,xopt_hyTank
1600.0,1.0e-5,1,GN_CRS2_LM,10,XTOL_REACHED,20555,0.511845702121837,9.99999737280537e-6,3.671708230520567e7,9.753297285929926e6,23335.64,16495.24,1162.97,158.49,1082.73,3787.14
1600.0,1.0e-5,1,GN_ISRES,1,XTOL_REACHED,73502,0.4258210113264653,9.999993492985412e-6,3.1751184368795875e7,7.777895266210009e6,14472.44,12243.32,1447.22,373.24,1375.92,6638.17
1600.0,1.0e-5,1,GN_ISRES,2,XTOL_REACHED,70926,0.4254046355211143,9.999997035906981e-6,3.172909539319589e7,7.77636458201663e6,14346.12,12214.57,1464.76,366.03,1380.71,6636.25
1600.0,1.0e-5,1,GN_ISRES,3,MAXEVAL_REACHED,100000,0.4264221334114203,7.054339549747933e-6,3.180482459394049e7,7.784512825429513e6,14476.61,12273.0,1444.77,372.92,1384.18,6662.41
1600.0,1.0e-5,1,GN_ISRES,4,XTOL_REACHED,69016,0.4255640911665437,9.999995086187327e-6,3.1729425089155324e7,7.789617135230749e6,14333.7,12207.12,1477.87,357.93,1379.04,6603.07
1600.0,1.0e-5,1,GN_ISRES,5,XTOL_REACHED,74690,0.42556392914100005,9.999998297629971e-6,3.1729226887457654e7,7.789698609149188e6,14331.28,12208.55,1477.98,357.74,1378.23,6603.32
1600.0,1.0e-5,1,GN_ISRES,6,XTOL_REACHED,71783,0.4258190445779534,9.99999272055276e-6,3.175034511295383e7,7.778309828302827e6,14475.17,12241.69,1447.57,373.08,1376.0,6636.27
1600.0,1.0e-5,1,GN_ISRES,7,MAXEVAL_REACHED,100000,0.42517322342009456,8.351019965989084e-6,3.1736477897133864e7,7.744492985913887e6,14391.04,12095.54,1459.87,365.68,1396.91,6884.79
1600.0,1.0e-5,1,GN_ISRES,8,XTOL_REACHED,71600,0.42541505765329785,9.999995906546323e-6,3.1731191286406554e7,7.773288796409978e6,14369.73,12217.72,1459.22,368.98,1381.41,6643.43
1600.0,1.0e-5,1,GN_ISRES,9,MAXEVAL_REACHED,100000,0.4251135722131805,8.946195345647062e-6,3.19657140924706e7,7.714246287970916e6,12770.48,12473.62,1518.71,367.18,1456.69,6961.66
1600.0,1.0e-5,1,GN_ISRES,10,XTOL_REACHED,70274,0.4280241457437362,9.999997713836936e-6,3.180785060825359e7,7.872251198841104e6,14943.69,12207.78,1476.68,344.73,1379.2,6383.03
1600.0,1.0e-5,1,LN_SBPLX,1,XTOL_REACHED,705,0.5812875488029366,9.999999836846224e-6,4.0178230107271574e7,1.1420235448368078e7,34140.0,17069.99,1171.56,33.84,995.38,2389.15
1600.0,1.0e-5,1,LN_SBPLX,2,XTOL_REACHED,766,0.5735640566108372,9.999999872859893e-6,3.972693913411981e7,1.1163169146591576e7,34082.95,17070.0,989.0,44.29,1043.52,2616.26
1600.0,1.0e-5,1,LN_SBPLX,3,XTOL_REACHED,859,0.6067901584587996,9.999999985976449e-6,4.171513762105589e7,1.2303154401370231e7,34135.61,16707.24,1877.7,16.23,946.19,1609.38
1600.0,1.0e-5,1,LN_SBPLX,4,XTOL_REACHED,836,0.452227251959207,9.999999880805906e-6,3.379002668579789e7,8.1965633191215405e6,14076.43,13783.67,1495.71,157.27,1392.61,7579.04
1600.0,1.0e-5,1,LN_SBPLX,5,XTOL_REACHED,898,0.5253638469016861,9.999999994073964e-6,3.744021539860465e7,1.0201566226186397e7,23600.15,16362.96,1496.65,53.16,1032.06,3527.76
1600.0,1.0e-5,1,LN_SBPLX,6,XTOL_REACHED,496,0.5414535706547327,9.999999950339803e-6,3.700289424270003e7,1.0780976600407239e7,34140.0,13543.38,1421.95,55.83,986.89,2705.51
1600.0,1.0e-5,1,LN_SBPLX,7,XTOL_REACHED,1241,0.5327350809889583,9.999999957873142e-6,3.7751041481386304e7,1.0250800446541568e7,26407.05,17010.88,1119.87,95.76,1003.9,3223.24
1600.0,1.0e-5,1,LN_SBPLX,8,XTOL_REACHED,1173,0.5963986465201813,9.999999999332503e-6,4.1128267695859306e7,1.190968997109749e7,34138.4,17021.0,1531.15,22.3,983.44,1966.86
1600.0,1.0e-5,1,LN_SBPLX,9,XTOL_REACHED,2103,0.5217659212742541,9.999999997876072e-6,3.595430847656304e7,1.054460779381525e7,29982.15,12456.95,1877.7,61.38,1077.49,2628.64
1600.0,1.0e-5,1,LN_SBPLX,10,XTOL_REACHED,1223,0.597838949471277,9.999999973210863e-6,4.1388018427612364e7,1.2079823590509713e7,31846.77,17070.0,1875.53,17.12,945.66,1700.41
1600.0,1.0e-5,2,GN_CRS2_LM,1,XTOL_REACHED,16955,0.3905056222740471,9.999967141644011e-6,2.9067471845244028e7,4.796579281034574e6,313.99,5843.85,1877.69,1789.3,1456.31,18701.48
1600.0,1.0e-5,2,GN_CRS2_LM,2,XTOL_REACHED,17990,0.3905321748708585,9.999956668743717e-6,2.9042668029737674e7,4.771288083515806e6,313.97,5734.53,1877.7,1825.58,1459.16,18788.74
1600.0,1.0e-5,2,GN_CRS2_LM,3,XTOL_REACHED,22652,0.39050562613924644,9.999980934303322e-6,2.906747198926874e7,4.796579449056561e6,313.99,5843.85,1877.69,1789.3,1456.31,18701.48
1600.0,1.0e-5,2,GN_CRS2_LM,4,XTOL_REACHED,16653,0.39050612028434745,9.999908425186683e-6,2.90674552867864e7,4.796590009558946e6,313.97,5843.85,1877.7,1789.33,1456.31,18701.3
1600.0,1.0e-5,2,GN_CRS2_LM,5,XTOL_REACHED,18456,0.39053217660606926,9.999979949009283e-6,2.9042669648725152e7,4.7712892992350925e6,313.97,5734.53,1877.7,1825.58,1459.16,18788.74
1600.0,1.0e-5,2,GN_CRS2_LM,6,XTOL_REACHED,17265,0.3905321765625077,9.99995640666429e-6,2.9042668617580015e7,4.771288274302982e6,313.97,5734.53,1877.7,1825.58,1459.16,18788.74
1600.0,1.0e-5,2,GN_CRS2_LM,7,XTOL_REACHED,15905,0.39050562597722205,9.999980382029192e-6,2.9067472148523696e7,4.796579309139818e6,313.99,5843.85,1877.69,1789.3,1456.31,18701.48
1600.0,1.0e-5,2,GN_CRS2_LM,8,XTOL_REACHED,16731,0.390532173118481,9.999987502920375e-6,2.9042667371281046e7,4.771287493598195e6,313.97,5734.52,1877.7,1825.58,1459.16,18788.74
1600.0,1.0e-5,2,GN_CRS2_LM,9,XTOL_REACHED,19484,0.3905056262717444,9.999976363622047e-6,2.9067471643250488e7,4.796579457968093e6,313.99,5843.85,1877.69,1789.3,1456.31,18701.48
1600.0,1.0e-5,2,GN_CRS2_LM,10,XTOL_REACHED,14744,0.39055262315704753,9.999962534811374e-6,2.9157463225586664e7,4.89322197485788e6,313.97,6268.61,1877.7,1668.08,1413.75,18387.12
